Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
USCC-U.TO,11.96,2025/04/04,15:59 EDT,-0.75,12.26,12.33,11.93,14724,,,,,,,,
GLCC.TO,30.77,2025/04/04,15:59 EDT,-2.3899994,32.29,32.29,30.47,130306,,,,,,,,
HGY.TO,12.44,2025/04/04,15:59 EDT,-0.26000023,12.63,12.63,12.38,15854,,,,,,,,
HXE.TO,31.89,2025/04/04,15:16 EDT,-3.2000008,33.1,33.1,31.7,4927,,,,,,,,
XTLH.TO,34.42,2025/04/04,15:59 EDT,0.32999802,34.71,34.86,34.42,115118,,,,,,,,
HTB-U.TO,43.29,2025/04/04,15:59 EDT,0.1800003,43.45,43.45,43.23,24677,,,,,,,,
ESPX-U.TO,22.72,2025/04/03,14:03 EDT,0.19999886,22.65,22.82,22.65,25,,,,,,,,
ETSX.TO,19.4,2025/04/04,15:29 EDT,-0.8299999,19.81,19.81,19.34,10792,,,,,,,,
QQQY.TO,19.41,2025/04/04,15:59 EDT,-1.2299995,21.3,20.13,19.25,71798,,,,,,,,
QQQT-U.TO,28.97,2025/03/21,14:46 EDT,2.83,28.97,28.97,28.97,16,,,,,,,,
HMAX.TO,13.06,2025/04/04,15:59 EDT,-0.5099993,13.39,13.4,12.91,993954,,,,,,,,
HDIF.TO,7.405,2025/04/04,15:59 EDT,-0.50499964,7.74,7.74,7.36,987311,,,,,,,,
HLIF.TO,9.16,2025/04/04,15:59 EDT,-0.3699999,9.56,9.43,9.16,9550,,,,,,,,
HLFE.TO,9.4,2024/06/25,14:15 EDT,-0.010000229,9.4,9.4,9.4,12230,,,,,,,,
BANK.TO,7.37,2025/04/04,15:59 EDT,-0.3699999,7.79,7.65,7.3,680414,,,,,,,,
CBNK.TO,7.49,2025/04/04,15:27 EDT,-0.2800002,7.76,7.66,7.39,13736,,,,,,,,
CALL-U.TO,13.17,2025/04/03,10:10 EDT,0.39000034,13.17,13.17,13.17,2600,,,,,,,,
